mkt_email,next_mnth_pv,age,tenure,ammount_spent,vehicle,food,beverage,art,baby,personal_care,toys,clothing,decor,cell_phones,construction,home_appliances,electronics,sports,tools,games,industry,pc,jewel,books,music_books_movies,health
0,3.36,29.0,0.0,79.36,1,0,0,3,0,0,2,1,1,1,0,3,4,0,0,3,2,1,0,3,1,1
1,2429.76,61.0,0.0,108.18,0,1,1,0,2,0,2,3,2,3,2,0,4,2,4,4,2,2,2,3,0,5
1,1657.54,43.0,0.0,40.56,0,1,2,1,0,1,3,2,3,3,1,0,6,1,0,2,1,3,0,1,1,2
1,1331.8,40.0,1.0,21.42,0,1,2,2,1,0,1,1,1,0,0,0,0,2,0,3,2,1,1,1,1,3
0,80.05,61.0,0.0,241.92,0,2,2,0,2,3,1,2,1,1,2,1,0,0,1,0,1,2,1,1,1,1
0,18.54,23.0,0.0,64.25,0,1,0,0,1,3,0,1,2,2,1,2,4,1,0,0,1,4,2,1,0,2
1,1112.45,33.0,0.0,60.61,0,0,1,1,0,1,1,1,1,1,1,1,2,1,0,2,1,1,0,1,1,3
0,54.38,74.0,0.0,194.81,0,3,2,0,0,2,2,2,3,2,0,2,0,1,4,1,0,0,3,0,0,2
1,1885.55,74.0,0.0,410.71,0,1,0,3,1,2,3,2,1,2,1,2,2,1,2,4,0,0,0,1,0,2
0,52.61,37.0,1.0,7.07,0,1,0,0,0,1,2,2,2,2,0,1,0,0,0,1,1,2,2,1,0,3
1,1256.6,26.0,1.0,125.06,0,0,0,1,0,2,1,0,0,5,1,1,1,1,2,1,0,0,2,0,0,1
1,71708.93,29.0,0.0,41173.89,0,2,0,1,0,2,0,2,2,3,0,0,4,1,0,1,1,1,1,0,1,1
1,1173.33,24.0,1.0,112.94,0,2,0,0,0,1,3,0,1,2,1,1,3,1,0,3,0,4,0,2,1,1
1,1902.01,42.0,0.0,50.1,0,2,0,0,2,3,1,0,0,9,1,0,1,1,1,2,1,0,0,2,1,1
0,192.96,22.0,1.0,42.06,1,0,3,1,1,1,2,0,1,3,2,2,1,2,0,1,1,1,1,2,2,2
0,9.6,51.0,0.0,40.52,0,3,1,0,1,2,1,2,0,7,3,3,4,0,0,2,1,1,5,2,0,1
0,178.04,28.0,1.0,156.6,0,2,0,3,2,1,1,1,1,5,2,2,0,2,1,1,1,3,2,2,0,3
1,1264.84,39.0,0.0,0.33,0,1,1,1,1,0,1,5,0,0,0,1,2,2,0,1,0,4,1,2,0,3
1,2080.94,26.0,1.0,182.95,1,2,1,0,0,1,1,4,0,2,1,3,3,2,0,3,1,2,2,0,1,4
0,22.65,41.0,0.0,149.71,0,2,1,1,0,1,0,1,1,5,2,3,3,3,0,1,3,4,1,1,0,2
0,37.25,29.0,0.0,42.16,0,1,0,1,2,1,1,2,0,6,0,1,3,1,1,2,0,1,1,3,2,1
1,1291.61,26.0,1.0,123.0,0,2,0,2,1,1,0,0,1,5,1,0,1,1,0,2,0,1,1,1,1,2
0,201.25,46.0,1.0,49.09,0,0,0,2,1,0,2,1,1,6,0,1,3,0,1,0,1,4,0,0,0,4
0,156.8,43.0,1.0,69.05,0,0,0,0,2,2,1,4,2,5,2,0,1,1,2,1,1,2,2,2,1,3
1,1686.44,35.0,0.0,13.74,0,0,2,3,1,1,1,1,1,4,0,2,1,1,1,2,0,3,2,2,4,2
1,1407.58,28.0,0.0,90.51,0,1,0,1,2,0,3,2,2,0,0,3,1,0,0,0,1,3,0,1,1,2
0,143.09,19.0,1.0,10.74,0,2,0,1,0,1,0,4,1,4,3,0,1,0,1,3,1,0,2,0,0,2
1,1897.26,32.0,0.0,51.55,0,3,1,1,0,3,0,0,1,3,0,1,1,1,2,2,3,4,1,0,2,2
0,22.48,37.0,0.0,23.74,0,0,0,1,1,2,1,1,0,0,1,2,0,1,1,5,1,2,3,3,2,0
0,56.95,32.0,0.0,52.98,0,0,0,3,1,0,0,2,0,2,2,3,3,0,3,0,1,2,0,2,3,2
1,982.68,44.0,1.0,66.51,0,0,0,0,0,0,3,1,2,1,1,1,0,0,0,2,0,2,1,3,2,2
1,1851.0,36.0,0.0,44.01,0,2,0,0,1,0,1,1,1,5,0,2,1,3,1,3,1,2,0,1,1,2
1,1567.97,41.0,1.0,93.47,0,0,1,0,1,2,0,0,2,5,0,0,0,1,1,1,1,1,1,0,1,3
0,60.8,34.0,0.0,111.48,0,2,0,2,1,2,2,2,1,5,1,2,0,0,0,1,1,2,0,1,1,1
1,1866.17,31.0,0.0,172.17,1,1,3,0,2,2,2,1,1,3,1,1,1,2,2,1,0,4,1,4,1,0
1,1575.89,42.0,0.0,218.08,0,0,1,1,3,2,1,2,1,1,1,1,0,0,2,1,0,2,0,2,1,1
1,1735.26,44.0,0.0,181.75,0,2,0,1,0,0,0,1,4,5,0,1,2,0,0,3,2,1,1,0,1,2
0,104.51,28.0,0.0,458.24,0,1,1,0,0,1,1,2,4,4,2,1,0,1,0,5,1,3,1,1,1,2
0,11.2,40.0,1.0,14.83,0,0,2,1,0,1,0,2,1,5,1,0,1,1,0,5,1,3,0,3,1,1
0,16.48,69.0,0.0,66.72,0,3,1,1,0,0,1,3,1,0,1,0,3,1,1,2,1,1,1,0,1,2
0,169.67,37.0,0.0,36.09,0,1,1,1,0,0,0,3,1,0,0,2,2,0,0,5,2,3,2,2,0,3
1,1729.55,49.0,0.0,77.22,0,2,4,1,2,2,1,1,1,4,0,1,1,1,1,2,1,3,1,1,1,0
1,2052.38,54.0,0.0,106.15,0,1,0,1,1,3,0,3,3,5,1,1,1,1,0,2,2,1,0,0,2,3
1,1202.22,69.0,0.0,41.55,0,1,0,0,0,1,2,3,2,2,2,0,2,0,1,0,0,1,0,2,1,1
0,4.0,26.0,0.0,69.91,0,1,1,0,0,0,0,3,1,2,0,1,1,0,0,2,2,2,0,0,0,3
1,2029.18,42.0,0.0,391.67,0,0,1,1,3,4,3,1,2,4,1,2,1,0,0,3,1,1,1,0,1,2
1,1665.24,38.0,1.0,29.56,0,1,2,3,3,1,0,1,0,3,0,0,3,1,2,3,0,1,0,2,2,1
1,1451.9,27.0,0.0,168.59,0,1,1,0,1,2,1,5,0,2,2,0,3,0,1,2,0,1,1,0,1,1
1,1631.28,60.0,0.0,60.95,0,0,2,2,0,0,0,1,4,2,1,2,2,2,1,2,0,2,0,1,0,0
0,196.29,32.0,0.0,118.91,0,2,1,0,1,0,0,3,1,3,0,1,2,1,2,2,0,2,2,2,2,2
1,1849.44,37.0,2.0,269.8,0,2,2,0,2,0,3,5,0,2,1,0,2,0,0,2,3,0,1,1,0,1
0,16.34,24.0,0.0,42.43,1,1,2,5,2,1,1,0,0,2,4,2,4,0,0,1,1,1,1,0,0,3
0,15.72,39.0,0.0,38.37,0,0,3,2,1,0,1,2,2,5,0,1,2,2,1,1,2,4,1,0,2,1
0,51.18,25.0,0.0,82.27,0,2,1,1,0,2,1,3,2,3,1,1,2,0,1,1,0,3,1,3,3,1
1,2023.2,47.0,0.0,47.54,0,2,4,1,2,1,1,5,3,2,1,2,3,0,1,1,1,3,1,0,1,3
0,44.24,44.0,0.0,161.34,0,1,1,0,1,2,3,2,1,4,2,1,2,0,1,3,2,1,0,0,0,3
0,79.19,31.0,0.0,211.59,0,0,0,0,1,0,2,1,1,5,1,1,3,0,3,2,0,2,1,2,2,3
0,190.09,52.0,0.0,114.76,0,2,1,2,2,2,1,1,3,1,1,1,4,1,1,4,2,3,1,1,1,0
1,1629.57,32.0,0.0,57.09,0,1,2,2,2,2,1,2,2,1,2,1,2,0,2,3,0,2,0,0,2,1
0,63.3,30.0,0.0,40.72,0,1,4,0,2,0,0,2,1,3,1,0,1,0,1,1,0,6,3,2,4,4
0,102.46,63.0,0.0,137.78,0,1,0,0,1,0,0,3,1,5,0,0,2,2,1,2,0,2,0,0,1,3
1,1621.22,20.0,0.0,72.61,0,2,1,2,2,2,1,1,1,2,2,1,2,1,0,1,1,3,1,2,0,3
0,11.04,37.0,0.0,40.16,1,1,1,0,0,2,0,1,1,5,2,0,3,1,0,3,1,2,1,0,0,3
1,1964.3,38.0,0.0,223.74,0,3,0,2,3,0,2,1,1,1,3,2,3,0,1,3,1,4,1,2,1,4
0,27.19,44.0,0.0,26.82,0,0,1,2,0,0,0,2,0,2,0,1,1,2,0,4,1,1,1,0,2,3
1,1862.33,43.0,1.0,16.97,1,2,0,1,0,0,2,1,1,5,1,4,1,0,0,3,2,1,1,0,0,2
0,157.37,36.0,2.0,95.11,0,2,1,1,0,0,1,2,0,2,1,1,5,1,0,1,3,0,0,0,2,3
0,57.12,47.0,0.0,15.99,0,0,2,2,1,0,0,1,0,7,1,1,3,1,2,3,3,3,2,1,1,1
0,266.04,32.0,0.0,100.85,0,0,0,2,2,1,0,1,0,3,0,3,1,0,0,1,1,1,0,1,3,2
1,1919.84,26.0,1.0,125.31,1,0,1,0,1,1,2,3,0,4,0,0,2,3,3,1,2,0,0,4,3,1
0,111.69,37.0,1.0,22.46,0,1,1,1,3,1,2,2,0,1,0,1,2,0,1,4,2,0,1,2,1,0
1,2032.32,45.0,1.0,72.4,0,2,0,1,1,1,2,1,0,3,1,0,4,0,3,1,3,3,2,2,0,4
0,39.52,45.0,0.0,95.99,0,0,1,2,3,0,0,1,1,3,0,0,1,1,0,1,0,3,2,2,1,1
0,139.89,36.0,2.0,137.09,0,0,1,1,0,1,1,4,2,3,2,1,4,3,1,1,3,4,2,0,1,2
0,4.26,25.0,0.0,10.43,0,2,1,0,0,0,1,1,2,3,0,0,1,0,0,3,1,2,1,2,2,0
1,1197.08,27.0,0.0,4.92,0,1,0,1,3,1,0,2,1,0,1,1,1,1,0,2,0,0,1,0,2,2
1,995.72,40.0,0.0,83.56,0,1,0,0,0,1,0,1,1,4,1,1,1,0,0,0,0,1,0,0,1,4
0,281.61,44.0,0.0,153.32,1,0,1,1,1,0,0,0,1,3,1,1,1,0,1,1,3,0,0,1,2,0
1,1730.25,36.0,0.0,118.23,0,1,2,0,2,3,0,2,0,3,0,1,0,1,0,2,1,3,0,1,2,3
0,53.12,32.0,1.0,117.07,0,1,2,2,1,2,1,0,2,3,1,0,3,1,1,1,0,3,1,1,0,0
1,1428.82,37.0,2.0,18.14,0,0,0,0,0,1,0,2,1,4,0,3,4,0,1,1,2,0,0,0,3,3
0,17.94,23.0,0.0,25.81,1,4,0,2,1,5,1,2,0,0,1,2,1,1,1,2,1,0,0,1,0,3
1,1355.44,42.0,0.0,136.79,0,0,0,2,0,1,4,0,1,0,1,1,1,0,1,1,0,4,2,0,1,3
0,15.19,45.0,0.0,174.46,0,2,1,0,0,4,2,0,0,1,1,1,2,1,0,1,2,3,1,0,2,2
1,1112.64,27.0,1.0,11.37,0,1,2,0,0,3,0,0,3,2,0,0,4,2,0,1,0,0,1,0,2,0
1,1784.57,41.0,1.0,112.13,0,0,1,1,1,1,4,5,1,2,0,3,0,1,1,3,0,3,2,1,1,0
1,1340.49,49.0,0.0,100.21,0,0,1,4,0,0,5,2,0,2,1,2,1,0,0,3,0,2,1,0,3,1
1,2230.84,29.0,0.0,72.37,0,1,1,1,2,1,1,0,2,7,0,2,2,1,1,4,2,3,1,0,1,2
1,2321.77,21.0,0.0,442.34,0,0,1,2,0,2,3,3,2,4,0,2,0,2,0,3,1,4,1,2,3,0
0,42.68,27.0,0.0,80.72,0,1,2,2,0,0,1,1,2,2,0,1,2,0,1,2,2,0,1,0,1,0
0,6.13,49.0,0.0,186.87,0,1,0,4,0,1,2,0,1,5,0,3,1,1,1,1,0,2,2,0,2,4
0,31.56,33.0,1.0,42.98,0,1,0,2,1,1,2,1,1,4,0,1,1,2,1,2,0,5,0,1,2,4
0,103.71,44.0,0.0,7.82,0,2,0,0,0,1,1,3,1,2,0,1,3,1,2,3,1,1,2,3,0,3
0,1.2,32.0,0.0,31.82,0,2,1,1,0,0,4,3,1,4,0,0,2,2,1,2,0,3,2,0,1,0
0,22.05,24.0,1.0,31.6,0,2,2,1,1,0,0,2,1,2,2,0,3,1,2,2,1,2,1,0,0,1
1,1409.71,51.0,1.0,8.71,0,1,2,1,0,1,1,0,1,3,2,1,2,1,1,1,3,2,1,0,1,1
0,5.05,58.0,1.0,125.39,1,0,1,1,2,1,0,3,0,2,0,1,1,1,3,2,0,2,1,0,0,3
1,1406.5,50.0,1.0,16.97,0,0,1,1,0,1,2,3,2,2,1,0,0,0,0,3,2,3,1,1,0,1
1,1497.93,36.0,0.0,35.46,1,0,1,2,0,0,0,5,1,2,0,0,2,0,2,1,2,3,1,1,0,2
0,27.97,46.0,0.0,318.4,0,1,0,2,0,0,0,2,0,3,0,0,2,1,1,0,0,3,0,0,1,4
1,1605.12,45.0,1.0,39.28,0,0,1,1,3,1,0,1,3,2,1,2,1,1,1,3,0,1,0,1,2,2
0,112.0,40.0,0.0,99.9,0,3,0,0,4,1,2,1,1,3,0,1,4,0,2,1,0,1,0,1,2,0
1,1474.75,64.0,0.0,8.58,0,0,1,0,0,1,1,0,1,4,0,0,2,0,2,2,2,2,1,2,2,2
1,1985.31,20.0,0.0,10.52,0,1,2,2,1,3,1,3,0,3,1,4,1,1,0,0,1,2,2,2,0,5
1,1459.66,45.0,1.0,20.03,0,2,0,0,3,0,2,2,1,1,0,1,1,1,2,1,1,0,1,2,2,2
1,1796.31,31.0,0.0,138.27,0,1,1,3,0,1,1,2,2,4,1,1,3,0,2,3,0,2,1,2,0,4
1,1686.78,21.0,0.0,13.5,0,1,3,1,1,0,1,0,2,6,2,0,0,1,2,3,1,3,0,1,0,1
1,1791.71,35.0,0.0,50.93,0,1,2,2,2,1,2,3,1,2,0,0,2,0,3,1,1,3,1,0,0,5
0,89.46,20.0,0.0,42.79,0,2,3,1,0,1,1,2,2,2,0,1,5,2,4,4,2,4,1,1,1,2
1,2013.86,28.0,2.0,7.22,0,2,0,1,1,3,2,1,1,2,0,0,1,0,1,6,4,3,1,2,1,2
0,10.3,42.0,0.0,64.57,0,0,3,2,1,0,2,1,1,5,3,2,4,0,1,1,1,4,2,3,0,0
0,14.42,24.0,0.0,12.66,0,0,0,1,0,3,1,2,0,5,1,1,2,1,0,1,1,2,1,3,0,3
1,1560.19,27.0,0.0,62.63,0,0,3,2,0,1,1,3,1,0,2,1,5,0,0,3,2,4,1,1,0,4
0,88.56,57.0,1.0,33.85,0,0,0,0,1,4,1,1,2,2,2,0,3,2,2,2,2,1,0,1,2,1
0,91.63,43.0,0.0,54.25,0,1,1,2,2,0,0,2,1,1,1,1,1,1,0,6,2,3,2,1,0,1
0,150.48,36.0,0.0,393.25,0,0,1,1,0,0,0,1,0,4,2,0,2,2,2,1,0,1,0,2,0,2
1,2361.9,54.0,1.0,235.1,0,1,3,0,0,1,1,5,0,4,0,0,4,1,6,1,1,1,2,0,2,1
0,17.25,22.0,0.0,29.53,0,0,1,2,2,3,1,3,0,2,0,3,0,0,3,2,1,2,2,1,3,3
1,1215.79,29.0,0.0,55.78,0,0,0,1,0,1,1,4,1,2,1,0,1,0,3,0,0,2,1,2,2,2
0,208.75,29.0,1.0,112.23,0,2,1,1,1,1,1,1,1,4,3,0,0,0,1,1,4,1,0,3,1,0
0,121.54,34.0,0.0,233.11,0,0,0,3,1,0,1,3,1,1,2,1,3,0,1,3,0,1,0,0,1,3
1,1154.14,34.0,0.0,23.4,1,1,1,0,1,0,1,2,1,2,0,1,3,0,1,1,0,3,4,0,1,0
0,52.3,35.0,0.0,50.23,0,0,1,0,1,1,2,2,2,4,0,2,3,0,0,1,0,5,2,1,2,0
0,33.38,24.0,2.0,131.15,0,0,0,1,0,1,1,3,2,2,1,1,1,1,4,0,2,5,1,1,1,1
0,100.62,35.0,2.0,76.8,0,0,1,0,1,1,1,4,1,6,2,0,1,1,1,0,2,3,0,0,0,3
0,367.62,38.0,0.0,92.6,0,0,1,1,2,0,3,0,2,3,2,1,3,1,1,1,1,3,0,1,0,2
0,31.22,35.0,0.0,105.38,0,0,1,2,1,4,5,5,1,5,0,2,5,0,1,4,2,4,1,1,0,0
0,0.59,36.0,0.0,22.19,0,1,3,2,0,2,2,3,0,6,0,1,1,1,0,3,3,1,1,2,2,1
1,1122.46,21.0,1.0,57.26,0,1,1,0,0,2,2,1,1,2,0,1,3,0,1,1,0,1,0,0,1,2
1,1059.96,46.0,1.0,293.18,0,2,1,1,2,0,0,2,0,1,1,1,3,0,0,1,0,1,0,1,2,2
0,21.68,19.0,0.0,317.38,0,1,1,0,0,2,0,4,0,1,3,1,0,1,1,3,0,1,1,0,1,1
1,1156.26,35.0,0.0,19.2,0,1,1,1,0,0,3,2,0,3,0,0,0,1,0,2,1,2,0,2,0,1
1,1131.5,45.0,0.0,33.91,0,2,1,2,0,0,1,0,5,1,1,1,1,0,2,2,0,1,0,0,0,1
1,1346.71,41.0,0.0,51.06,0,0,0,0,0,1,4,2,1,1,1,0,2,0,1,4,3,4,1,0,0,0
0,12.76,30.0,0.0,2.19,0,1,0,3,2,0,1,2,1,2,2,1,3,1,3,3,0,3,0,1,1,0
1,1541.75,33.0,0.0,25.02,0,2,0,1,3,1,1,3,0,4,2,0,2,1,0,2,0,3,0,1,0,1
1,1970.59,29.0,1.0,201.33,0,0,0,1,3,0,1,3,1,6,1,0,2,1,3,2,1,2,2,0,1,2
0,127.76,33.0,1.0,10.69,0,1,1,2,0,0,1,1,1,3,2,0,4,0,0,3,2,3,1,0,2,2
0,113.39,23.0,0.0,155.13,1,0,2,0,0,2,1,0,0,3,3,3,2,3,0,2,0,2,0,1,1,2
0,55.8,22.0,0.0,151.23,0,2,2,1,1,1,1,1,0,6,3,0,4,2,0,0,1,1,1,1,1,1
1,1466.97,20.0,1.0,83.03,0,0,1,1,0,0,3,1,0,2,1,2,1,3,0,2,3,1,0,0,2,1
1,1461.92,52.0,1.0,210.91,0,0,1,1,1,1,2,2,2,1,1,2,0,0,2,0,0,1,3,2,1,3
0,38.19,69.0,1.0,126.17,0,1,1,0,1,1,2,0,0,4,0,0,1,1,1,4,0,2,2,0,0,2
1,1945.87,52.0,1.0,108.21,1,1,1,1,2,2,1,1,1,3,1,0,2,1,1,1,4,0,0,3,1,3
1,1363.08,30.0,0.0,54.27,0,0,0,0,1,2,1,2,1,3,3,0,5,1,0,0,2,0,1,0,0,2
1,1617.42,48.0,1.0,90.76,0,0,1,0,0,0,2,2,3,4,2,0,1,2,0,3,1,2,1,4,2,0
1,1187.56,49.0,0.0,40.27,0,1,1,0,0,0,1,0,1,2,2,0,2,1,1,4,0,3,0,1,0,3
1,2028.26,30.0,1.0,26.33,0,3,0,0,1,2,0,3,0,5,2,0,3,3,3,2,0,2,0,0,1,2
0,154.39,41.0,1.0,171.35,0,1,0,2,0,2,2,0,0,1,2,0,2,3,1,3,1,2,0,1,0,4
1,2011.96,27.0,0.0,67.05,0,2,0,0,0,2,3,3,4,1,1,2,3,0,1,3,2,1,5,0,0,2
1,1231.34,31.0,0.0,158.87,0,0,0,0,0,1,3,1,1,2,0,2,2,0,0,2,0,1,1,1,3,3
0,126.6,65.0,0.0,68.89,1,1,2,1,3,2,0,2,2,7,1,0,1,0,1,3,0,3,1,1,1,3
1,1253.86,65.0,0.0,27.6,0,0,0,1,0,0,0,2,1,2,0,0,3,0,1,3,2,1,1,2,0,3
1,1435.22,31.0,0.0,139.41,0,0,1,5,1,1,0,0,0,1,2,1,1,1,2,2,0,2,3,2,1,4
0,47.06,47.0,1.0,56.59,2,2,1,0,0,2,3,3,1,5,3,2,6,0,0,1,0,1,0,0,0,2
1,1305.98,47.0,0.0,77.27,0,2,1,2,0,0,3,1,0,0,0,1,0,3,0,1,1,3,3,2,2,1
0,137.26,23.0,0.0,78.05,1,1,1,1,1,2,2,1,1,2,2,0,2,0,1,1,0,0,3,1,0,4
1,1702.59,48.0,0.0,139.9,0,0,1,1,0,0,1,2,1,1,0,1,3,1,2,2,4,5,1,0,1,3
0,69.09,30.0,0.0,246.56,0,0,1,2,0,1,0,0,1,3,1,2,2,0,1,0,1,3,1,1,0,4
1,1546.11,19.0,0.0,252.12,0,0,0,1,0,2,1,4,0,1,0,0,3,1,0,3,2,3,3,1,1,2
1,3935.5,42.0,0.0,25723.48,0,0,1,3,1,2,1,2,2,5,1,1,4,0,1,1,2,1,3,2,0,1
0,146.45,41.0,1.0,0.54,0,2,0,0,0,0,0,4,2,5,1,2,2,1,3,2,2,3,1,2,1,0
1,1056.92,32.0,1.0,16.09,0,2,0,1,0,0,0,0,0,4,1,2,3,0,0,1,2,1,2,0,3,0
1,2207.24,28.0,0.0,18.03,0,3,0,0,3,2,1,3,1,6,3,1,0,0,3,2,0,0,3,2,1,0
1,1405.08,34.0,0.0,8.69,0,2,1,2,1,1,1,0,2,3,0,2,0,1,0,1,0,1,2,1,1,3
1,1552.24,27.0,0.0,119.63,0,1,2,0,0,0,2,2,2,2,1,1,2,1,0,3,1,1,2,2,2,3
1,1374.08,45.0,0.0,20.1,0,2,1,0,0,0,1,1,1,0,2,3,2,1,1,2,1,3,0,2,3,3
0,223.22,49.0,1.0,9.74,0,0,1,1,0,1,3,3,1,5,0,3,3,1,1,5,2,1,2,1,1,1
0,1.29,35.0,1.0,51.22,0,0,1,0,1,1,1,3,1,3,0,1,3,1,0,1,0,5,1,1,1,1
0,52.41,29.0,0.0,283.89,0,0,0,1,1,1,1,1,0,4,0,1,2,0,0,2,1,2,0,1,0,0
1,1411.75,44.0,1.0,39.68,0,2,0,1,0,0,0,1,3,2,2,1,4,1,0,2,0,3,2,0,0,3
1,1481.07,30.0,0.0,124.29,0,0,1,1,0,1,1,1,1,2,0,1,1,2,0,3,2,0,0,1,2,3
1,1591.13,20.0,0.0,188.45,0,2,0,0,1,0,0,1,1,5,2,1,3,1,2,1,1,1,0,0,1,2
1,1356.8,46.0,0.0,5.91,0,2,0,2,1,1,1,1,1,4,0,0,2,1,1,2,0,5,1,1,1,0
1,1351.82,47.0,1.0,65.17,0,3,0,1,1,1,0,1,1,1,3,1,3,1,2,1,1,4,1,3,2,1
1,1641.83,27.0,1.0,0.76,0,2,1,0,2,0,2,3,0,4,1,0,1,1,1,2,0,3,1,1,4,1
0,4.69,46.0,0.0,66.26,0,2,0,3,2,2,0,1,0,5,0,0,2,2,4,5,1,3,0,1,1,2
0,16.36,45.0,0.0,97.29,0,3,0,2,0,1,1,2,0,5,2,1,2,2,0,0,4,3,0,1,2,3
1,1688.13,47.0,0.0,205.95,2,0,1,2,0,1,1,1,0,4,2,0,1,2,3,0,2,1,1,1,1,2
1,1297.51,69.0,1.0,309.31,0,2,0,1,1,1,1,5,0,0,0,0,3,2,1,0,0,1,2,2,2,3
1,1629.75,29.0,0.0,69.38,1,0,0,1,1,0,0,2,1,4,2,1,2,0,4,1,0,5,0,1,2,2
