age,income,credit_score,prime_elegible,prime_card,pv,tau,categ
44.1,2689.0,54.0,1,0,1870.83,200.0,never-taker
37.4,4253.0,796.0,0,0,2232.53,700.0,complier
45.2,12545.0,180.0,1,0,5570.81,200.0,never-taker
42.2,3592.0,215.0,0,0,2500.08,200.0,never-taker
41.3,1305.0,60.0,0,0,788.98,200.0,never-taker
41.6,2024.0,196.0,0,0,1507.79,200.0,never-taker
45.5,8180.0,157.0,0,0,4025.51,200.0,never-taker
45.0,4075.0,241.0,1,1,2950.29,700.0,complier
44.1,3170.0,532.0,1,1,2638.92,700.0,complier
42.6,3785.0,181.0,0,0,1920.06,200.0,never-taker
42.3,2452.0,59.0,0,0,1579.59,200.0,never-taker
44.5,1552.0,151.0,0,0,1183.78,200.0,never-taker
42.9,514.0,28.0,0,0,81.78,199.99999999999997,never-taker
44.7,704.0,73.0,1,0,1207.47,200.0,never-taker
40.8,1415.0,185.0,1,0,1407.59,200.0,never-taker
32.3,601.0,72.0,0,0,285.76,200.0,never-taker
46.2,3442.0,800.0,1,1,2526.65,700.0,complier
50.7,15638.0,168.0,1,0,6881.78,200.0,never-taker
43.8,5029.0,423.0,1,1,3886.85,700.0,complier
41.6,622.0,318.0,0,0,886.33,699.9999999999999,complier
41.5,6710.0,532.0,0,0,3476.91,700.0,complier
41.5,3399.0,580.0,0,0,2094.57,700.0,complier
42.1,7213.0,70.0,1,0,2790.94,200.0,never-taker
37.5,3146.0,73.0,1,0,2279.12,200.0,never-taker
39.9,4407.0,84.0,0,0,2308.9,200.0,never-taker
38.0,1655.0,233.0,0,0,927.91,699.9999999999999,complier
43.0,3050.0,45.0,1,0,1516.69,200.0,never-taker
40.8,552.0,430.0,1,1,1136.96,700.0,complier
44.0,2615.0,10.0,0,0,1767.99,200.0,never-taker
41.3,4597.0,51.0,0,0,2292.97,200.0,never-taker
45.9,12955.0,24.0,1,0,5701.46,200.0,never-taker
42.9,1304.0,77.0,0,0,493.07,199.99999999999994,never-taker
50.8,2047.0,362.0,0,0,1450.86,699.9999999999998,complier
34.4,4364.0,33.0,1,0,1615.89,200.0,never-taker
39.4,3015.0,246.0,1,0,2075.85,200.0,never-taker
45.6,5652.0,180.0,0,0,3421.84,200.0,never-taker
52.1,8706.0,786.0,1,1,4903.66,700.0,complier
41.0,4597.0,33.0,1,0,2980.83,200.0,never-taker
42.2,5776.0,631.0,0,0,2931.92,700.0,complier
41.1,12579.0,618.0,1,1,6676.32,700.0,complier
47.3,4671.0,559.0,1,1,2837.38,700.0,complier
40.9,2874.0,264.0,0,0,1682.67,700.0,complier
44.7,1550.0,193.0,1,0,1533.26,200.0,never-taker
40.7,9808.0,289.0,1,1,5416.43,700.0,complier
36.9,5118.0,269.0,1,1,3081.98,700.0,complier
43.3,4256.0,229.0,0,0,2756.59,200.0,never-taker
44.0,10345.0,396.0,1,1,6237.65,700.0,complier
47.2,3073.0,153.0,1,0,1400.15,200.0,never-taker
41.6,10789.0,69.0,1,0,5508.74,200.0,never-taker
39.5,3247.0,316.0,0,0,1759.85,700.0,complier
44.3,564.0,168.0,1,0,1116.01,200.0,never-taker
43.0,13010.0,192.0,0,0,5745.67,200.0,never-taker
43.1,5315.0,402.0,0,0,2311.69,700.0,complier
41.7,2429.0,39.0,1,0,1923.11,199.99999999999977,never-taker
46.6,905.0,8.0,1,0,530.36,200.0,never-taker
43.5,1068.0,468.0,1,1,2317.77,700.0,complier
49.6,9840.0,404.0,1,1,4977.34,700.0,complier
46.4,6535.0,71.0,1,0,3520.04,200.0,never-taker
44.6,3697.0,272.0,1,1,3377.47,700.0,complier
35.5,6651.0,314.0,0,0,2874.38,700.0,complier
44.4,5385.0,131.0,0,0,3028.94,200.0,never-taker
43.7,10063.0,426.0,1,1,5526.31,700.0,complier
45.2,4921.0,370.0,0,0,2616.82,700.0,complier
46.2,2406.0,108.0,1,0,2100.18,200.0,never-taker
40.4,1331.0,612.0,1,1,1661.53,700.0,complier
45.3,15232.0,137.0,0,0,6735.84,200.0,never-taker
39.8,2122.0,253.0,1,0,1741.44,200.0,never-taker
49.8,3633.0,250.0,0,0,2351.61,200.0,never-taker
36.7,6972.0,154.0,0,0,3323.31,200.0,never-taker
35.0,9568.0,131.0,1,0,4406.55,200.0,never-taker
35.4,6529.0,23.0,0,0,3432.67,200.0,never-taker
38.4,3031.0,755.0,1,1,1906.37,700.0,complier
37.5,1914.0,465.0,0,0,1659.68,700.0000000000002,complier
49.8,5610.0,207.0,1,0,2635.24,200.0,never-taker
40.7,8347.0,17.0,1,0,3769.01,200.0,never-taker
36.6,3688.0,357.0,0,0,2489.71,700.0,complier
46.5,5911.0,283.0,0,0,3433.72,200.0,never-taker
39.7,8787.0,90.0,1,0,3891.86,200.0,never-taker
37.1,7962.0,60.0,1,0,3843.94,200.0,never-taker
45.5,1063.0,60.0,0,0,829.79,200.0,never-taker
44.5,4283.0,18.0,0,0,1959.26,200.00000000000023,never-taker
40.3,2164.0,106.0,1,0,1738.46,200.0,never-taker
47.6,7874.0,190.0,0,0,3767.63,200.0,never-taker
42.5,3377.0,14.0,1,0,2169.57,200.0,never-taker
48.5,8525.0,625.0,1,1,4425.860000000001,700.0000000000005,complier
44.0,4288.0,246.0,0,0,2348.53,200.0,never-taker
48.2,1762.0,221.0,1,0,1863.35,200.0,never-taker
42.4,5294.0,106.0,1,0,2393.67,200.0,never-taker
37.1,3251.0,418.0,1,1,2290.44,700.0,complier
51.8,8458.0,132.0,1,0,4103.18,200.0,never-taker
39.8,3689.0,765.0,0,0,2204.81,700.0,complier
41.2,1915.0,174.0,1,0,994.34,200.0000000000001,never-taker
39.2,7672.0,405.0,1,1,4662.389999999999,699.9999999999995,complier
41.2,2123.0,10.0,1,0,1309.49,200.0,never-taker
43.0,2316.0,165.0,0,0,2034.43,200.00000000000023,never-taker
42.8,10203.0,179.0,0,0,4965.06,200.0,never-taker
44.6,5260.0,168.0,0,0,2927.29,200.0,never-taker
49.2,14067.0,66.0,1,0,6104.4,200.0,never-taker
41.5,4488.0,82.0,0,0,2321.13,200.0,never-taker
37.1,5671.0,138.0,1,1,2928.94,700.0,complier
37.3,1580.0,132.0,0,0,1192.63,200.0,never-taker
39.3,1523.0,203.0,1,0,1017.76,200.0,never-taker
35.3,5274.0,210.0,0,0,2472.76,700.0,complier
45.3,13943.0,7.0,0,0,6326.94,200.0,never-taker
40.0,2674.0,444.0,1,1,2228.3199999999997,699.9999999999998,complier
40.8,2329.0,158.0,0,0,1254.81,200.0,never-taker
42.0,2426.0,68.0,0,0,1743.16,200.0,never-taker
36.4,5380.0,428.0,1,1,3331.16,700.0,complier
38.6,4877.0,17.0,0,0,2761.41,200.0,never-taker
44.7,3858.0,248.0,1,0,2554.25,200.0,never-taker
44.5,2480.0,133.0,0,0,1209.86,200.0,never-taker
40.2,1267.0,359.0,0,0,1550.61,699.9999999999998,complier
49.2,3362.0,159.0,1,0,2150.72,200.0,never-taker
36.8,6598.0,292.0,0,0,2816.57,700.0,complier
40.6,10184.0,98.0,1,0,4337.84,200.0,never-taker
41.1,1209.0,506.0,1,1,2180.16,699.9999999999998,complier
30.8,1852.0,69.0,1,0,941.58,199.9999999999999,never-taker
49.8,11585.0,157.0,0,0,5033.24,200.0,never-taker
43.5,1400.0,489.0,1,1,1893.03,700.0,complier
37.8,2092.0,163.0,1,0,953.9,200.0000000000001,never-taker
50.2,1579.0,216.0,1,0,1053.25,200.0,never-taker
44.3,5383.0,15.0,1,0,2240.08,200.0,never-taker
43.7,15771.0,572.0,0,0,7456.2,700.0,complier
39.6,2088.0,104.0,1,0,1849.04,200.0,never-taker
42.4,674.0,52.0,0,0,1497.91,200.0,never-taker
35.9,3246.0,140.0,0,0,2012.91,199.99999999999977,never-taker
45.2,15455.0,64.0,0,0,6988.83,200.0,never-taker
40.5,7077.0,42.0,0,0,3152.32,200.0,never-taker
42.5,10486.0,160.0,1,0,4957.56,200.0,never-taker
46.8,3381.0,30.0,0,0,1951.51,200.00000000000023,never-taker
43.1,1798.0,129.0,0,0,1444.2,200.0,never-taker
43.0,1831.0,363.0,0,0,1668.75,700.0,complier
43.1,3274.0,164.0,0,0,1704.08,200.0,never-taker
39.1,1449.0,402.0,1,1,2229.8900000000003,700.0000000000002,complier
45.3,8592.0,215.0,0,0,3740.34,200.0,never-taker
48.2,1368.0,86.0,1,0,782.03,200.0,never-taker
45.0,2519.0,60.0,1,0,2045.27,200.0,never-taker
45.5,10797.0,157.0,0,0,4933.66,200.0,never-taker
38.5,6322.0,144.0,1,0,3204.52,200.0,never-taker
38.5,7691.0,13.0,1,0,3760.57,200.0,never-taker
36.2,10450.0,192.0,0,0,4733.16,200.0,never-taker
46.9,10269.0,601.0,0,0,4581.34,700.0,complier
41.0,5664.0,184.0,1,0,3183.83,200.0,never-taker
47.6,3432.0,313.0,1,1,2828.61,700.0,complier
38.9,546.0,474.0,1,1,1732.81,700.0,complier
40.2,11250.0,96.0,0,0,5257.75,200.0,never-taker
42.4,876.0,236.0,0,0,850.95,200.0,never-taker
45.7,12960.0,231.0,0,0,5503.43,700.0,complier
42.2,8384.0,287.0,0,0,4165.53,200.0,never-taker
42.8,14455.0,151.0,0,0,6352.82,200.0,never-taker
42.1,1843.0,281.0,1,1,2093.48,700.0,complier
42.7,3336.0,541.0,0,0,1631.5,700.0,complier
37.5,601.0,813.0,1,1,1443.1100000000001,700.0000000000001,complier
42.3,1900.0,484.0,0,0,1816.69,700.0,complier
41.3,552.0,622.0,0,0,1278.69,700.0,complier
41.8,7601.0,368.0,1,1,4446.34,700.0,complier
44.0,5587.0,292.0,0,0,2895.85,200.0,never-taker
39.3,7837.0,208.0,1,1,3870.21,700.0,complier
41.7,659.0,301.0,0,0,562.1,699.9999999999999,complier
40.8,1470.0,12.0,0,0,1085.64,200.0,never-taker
43.7,586.0,46.0,1,0,982.1,199.9999999999999,never-taker
45.1,1359.0,125.0,1,0,1324.21,200.0,never-taker
38.2,3906.0,4.0,1,0,2441.94,200.0,never-taker
44.3,533.0,476.0,0,0,769.95,700.0,complier
50.3,6137.0,130.0,0,0,3646.84,200.0,never-taker
36.1,6918.0,619.0,0,0,3448.56,699.9999999999995,complier
38.7,2082.0,427.0,1,1,1833.18,700.0,complier
38.5,3753.0,566.0,0,0,1618.32,699.9999999999998,complier
40.9,5440.0,150.0,0,0,2436.43,200.0,never-taker
48.5,11368.0,134.0,0,0,4831.75,200.0,never-taker
42.1,955.0,4.0,0,0,841.23,200.0,never-taker
39.2,9379.0,180.0,1,0,4460.29,200.0,never-taker
44.5,1328.0,84.0,0,0,1322.04,200.0,never-taker
39.6,9964.0,675.0,1,1,5371.58,700.0,complier
46.5,3022.0,30.0,0,0,1785.18,200.0,never-taker
43.2,3894.0,307.0,0,0,2256.13,700.0,complier
47.6,11969.0,63.0,1,0,5497.69,200.0,never-taker
39.4,1999.0,96.0,0,0,1488.53,200.0,never-taker
54.1,7464.0,4.0,0,0,3473.28,200.0,never-taker
45.3,2939.0,124.0,1,0,2253.99,200.0,never-taker
44.6,1084.0,21.0,0,0,1865.58,200.0,never-taker
41.8,2596.0,646.0,1,1,2706.59,700.0000000000002,complier
39.1,1033.0,30.0,1,0,771.3,200.0,never-taker
38.5,1587.0,389.0,1,1,2659.87,700.0,complier
41.5,3032.0,377.0,0,0,2204.55,700.0,complier
38.8,2558.0,212.0,0,0,1635.71,700.0,complier
43.1,3880.0,13.0,0,0,2422.06,200.0,never-taker
38.7,1193.0,2.0,0,0,734.03,200.0,never-taker
44.5,2939.0,314.0,1,1,2102.0699999999997,699.9999999999998,complier
45.8,5541.0,191.0,1,0,3294.18,200.0,never-taker
39.2,2403.0,97.0,0,0,750.79,200.0,never-taker
46.8,667.0,143.0,1,0,563.93,200.0,never-taker
41.0,7833.0,531.0,0,0,4250.4,700.0,complier
46.6,10381.0,333.0,1,0,5304.69,200.0,never-taker
43.8,2278.0,185.0,0,0,1548.06,200.0,never-taker
46.5,8929.0,22.0,1,0,4194.08,200.0,never-taker
38.0,2449.0,718.0,1,1,2168.5699999999997,699.9999999999998,complier
41.6,4570.0,223.0,0,0,2429.73,200.0,never-taker
47.8,1281.0,149.0,1,0,861.05,200.0,never-taker
39.5,3561.0,293.0,0,0,1577.82,699.9999999999998,complier
33.9,770.0,189.0,1,0,342.99,200.0,never-taker
34.2,9750.0,364.0,0,0,4447.97,700.0,complier
32.0,3322.0,198.0,0,0,2118.41,200.0,never-taker
33.5,844.0,690.0,1,1,1403.01,700.0,complier
40.4,1109.0,321.0,1,1,1736.67,700.0,complier
47.1,13827.0,532.0,0,0,5972.05,700.0,complier
40.2,2234.0,88.0,1,0,1690.9,200.0,never-taker
43.3,7622.0,850.0,0,0,3829.94,700.0000000000005,complier
41.6,13021.0,197.0,1,0,6365.89,200.0,never-taker
42.0,4753.0,304.0,1,1,2647.67,700.0,complier
41.3,3456.0,658.0,1,1,2827.63,700.0,complier
41.3,16966.0,29.0,0,0,7507.97,200.0,never-taker
43.8,18797.0,271.0,0,0,8951.23,200.0,never-taker
37.3,3942.0,413.0,1,1,2617.12,700.0,complier
46.0,1147.0,281.0,1,0,1385.34,200.0,never-taker
45.7,2371.0,4.0,1,0,1627.89,200.0,never-taker
41.2,10053.0,676.0,0,0,4584.43,700.0,complier
45.2,6095.0,30.0,1,0,2847.96,200.0,never-taker
39.2,807.0,442.0,0,0,1619.02,700.0,complier
39.9,2309.0,9.0,1,0,1327.51,200.0,never-taker
42.6,1311.0,321.0,1,1,1372.2,700.0,complier
41.2,834.0,114.0,1,0,741.43,200.0,never-taker
40.2,3342.0,149.0,0,0,2091.95,200.0,never-taker
39.3,6408.0,651.0,0,0,2985.29,700.0,complier
39.8,1094.0,415.0,1,1,1849.56,700.0,complier
45.8,1229.0,389.0,1,1,1956.09,700.0,complier
34.2,8979.0,345.0,1,1,4304.24,700.0,complier
43.4,9436.0,190.0,1,0,4496.11,200.0,never-taker
41.1,11983.0,102.0,0,0,5411.88,200.0,never-taker
44.9,4528.0,28.0,0,0,2075.73,200.0,never-taker
44.1,851.0,678.0,1,1,1405.83,699.9999999999999,complier
30.9,10779.0,208.0,0,0,4970.44,700.0,complier
44.3,2686.0,282.0,1,0,2239.92,200.0,never-taker
43.3,3266.0,461.0,0,0,1891.64,700.0000000000002,complier
42.1,6891.0,525.0,0,0,3914.69,700.0000000000005,complier
40.1,3501.0,383.0,0,0,1580.15,700.0,complier
45.4,1387.0,332.0,0,0,804.15,700.0000000000001,complier
40.3,3055.0,346.0,1,1,2243.98,700.0,complier
49.3,1972.0,224.0,0,0,1050.24,700.0,complier
44.3,2396.0,58.0,0,0,1767.9,200.0,never-taker
50.6,15512.0,314.0,1,1,7758.21,700.0,complier
38.9,1866.0,217.0,1,1,1734.4,700.0,complier
35.0,5893.0,13.0,0,0,3154.49,200.0,never-taker
44.9,4222.0,162.0,1,0,2162.38,200.0,never-taker
45.4,3192.0,101.0,0,0,1763.68,200.0,never-taker
42.1,4679.0,214.0,0,0,1964.34,700.0000000000002,complier
35.8,1508.0,312.0,0,0,896.85,699.9999999999999,complier
40.2,5219.0,250.0,1,1,2964.32,700.0,complier
44.5,7052.0,58.0,0,0,3050.32,200.0,never-taker
41.3,2360.0,82.0,0,0,1778.81,200.0,never-taker
41.5,3147.0,248.0,1,0,1999.65,200.0,never-taker
41.3,4608.0,147.0,1,0,2677.89,200.0,never-taker
38.3,9368.0,829.0,1,1,5149.75,700.0,complier
39.9,1728.0,296.0,1,1,1751.46,700.0,complier
36.3,9936.0,95.0,0,0,4286.44,200.0,never-taker
49.1,6430.0,113.0,0,0,3259.64,200.0,never-taker
40.1,676.0,479.0,1,1,1352.21,700.0,complier
43.9,8333.0,448.0,0,0,3590.93,700.0000000000005,complier
37.9,2540.0,850.0,1,1,2033.31,700.0,complier
45.2,1257.0,290.0,0,0,1228.16,700.0,complier
34.5,1914.0,215.0,1,1,1754.0,700.0,complier
45.7,8376.0,121.0,0,0,4226.54,200.0,never-taker
41.9,5482.0,358.0,1,1,3440.42,700.0,complier
50.4,2090.0,273.0,1,0,2054.52,200.0,never-taker
36.8,7251.0,250.0,1,1,3978.87,700.0,complier
42.3,814.0,185.0,0,0,1162.26,200.0,never-taker
43.5,2926.0,420.0,0,0,1713.79,700.0,complier
46.9,4238.0,179.0,1,0,2301.75,200.0,never-taker
40.3,5988.0,392.0,0,0,2560.0,700.0,complier
42.3,1854.0,620.0,1,1,1826.27,700.0,complier
33.4,3740.0,315.0,0,0,2525.53,700.0,complier
38.7,933.0,251.0,0,0,403.83,700.0,complier
43.8,8708.0,155.0,0,0,3816.81,200.0,never-taker
46.4,8686.0,3.0,1,0,3839.07,200.0,never-taker
40.9,863.0,331.0,1,1,1606.21,700.0,complier
50.2,1899.0,737.0,0,0,815.5,700.0,complier
49.0,3091.0,56.0,0,0,2301.76,200.0,never-taker
41.8,5038.0,167.0,1,0,2474.36,200.0,never-taker
32.3,3089.0,264.0,1,1,2104.29,700.0,complier
34.9,3051.0,74.0,1,0,1668.28,200.0,never-taker
38.9,4760.0,304.0,0,0,2498.28,700.0,complier
46.5,4601.0,714.0,1,1,3124.37,700.0,complier
43.2,12737.0,282.0,1,1,6502.64,700.0,complier
33.6,6864.0,866.0,1,1,3487.79,700.0,complier
41.1,1792.0,36.0,0,0,1570.19,200.0,never-taker
48.5,4554.0,220.0,1,1,3050.54,700.0,complier
40.5,8184.0,372.0,0,0,3852.47,699.9999999999995,complier
39.0,7778.0,188.0,1,1,3711.23,700.0,complier
50.2,4708.0,15.0,0,0,2829.43,200.0,never-taker
42.2,5884.0,253.0,1,0,3906.61,200.00000000000045,never-taker
40.1,3531.0,443.0,1,1,2831.1,700.0,complier
43.4,13680.0,94.0,1,0,5550.38,200.0,never-taker
42.1,12710.0,495.0,1,1,6125.44,700.0,complier
40.3,3476.0,5.0,0,0,2264.58,200.0,never-taker
46.8,13338.0,410.0,0,0,6474.0,700.0,complier
46.5,22975.0,81.0,1,0,10014.51,200.0,never-taker
45.4,847.0,136.0,0,0,407.68,200.00000000000006,never-taker
41.6,1163.0,432.0,0,0,822.44,700.0,complier
46.6,1167.0,15.0,1,0,1338.73,200.0,never-taker
41.8,4608.0,288.0,1,0,2959.33,200.0,never-taker
43.9,2415.0,344.0,0,0,1827.78,699.9999999999998,complier
46.1,10182.0,173.0,1,0,5096.95,200.0,never-taker
45.2,5570.0,172.0,1,0,3167.88,200.0,never-taker
49.2,24239.0,126.0,0,0,9816.15,200.0,never-taker
43.8,2257.0,51.0,0,0,1055.92,200.0,never-taker
35.3,7273.0,664.0,1,1,4320.219999999999,699.9999999999995,complier
37.4,4310.0,145.0,1,0,2431.74,200.0,never-taker
47.4,2093.0,604.0,0,0,1934.03,699.9999999999998,complier
40.7,4112.0,311.0,1,1,2442.2799999999997,699.9999999999998,complier
43.5,2106.0,21.0,0,0,1680.42,200.0,never-taker
38.6,1921.0,294.0,0,0,1350.96,700.0,complier
46.0,2696.0,492.0,1,1,2429.6,700.0,complier
40.5,6259.0,315.0,1,1,3295.72,700.0,complier
47.8,15397.0,589.0,0,0,6633.52,700.0,complier
39.9,3595.0,102.0,1,0,2205.58,200.0,never-taker
46.5,15299.0,519.0,0,0,6698.69,700.0,complier
44.7,6522.0,50.0,0,0,2758.46,200.0,never-taker
39.1,1566.0,579.0,0,0,1188.77,700.0,complier
46.4,3661.0,315.0,0,0,2601.34,700.0,complier
38.4,2940.0,97.0,0,0,1680.7,200.0,never-taker
38.7,3478.0,212.0,1,1,2387.26,700.0000000000002,complier
44.9,849.0,517.0,0,0,1588.29,700.0,complier
39.5,6265.0,619.0,1,1,3873.74,700.0,complier
39.6,1589.0,322.0,1,1,1622.0,700.0,complier
40.6,1396.0,437.0,1,1,2086.49,699.9999999999998,complier
38.0,8061.0,245.0,1,1,4428.4,699.9999999999995,complier
46.2,6096.0,31.0,0,0,3319.0,200.0,never-taker
44.4,8412.0,41.0,1,0,3362.7,200.0,never-taker
41.7,5354.0,127.0,0,0,2112.02,200.0,never-taker
41.6,756.0,438.0,1,1,1488.62,699.9999999999999,complier
43.8,5398.0,322.0,0,0,3102.89,700.0,complier
49.1,3701.0,101.0,0,0,1697.77,200.0,never-taker
45.5,5828.0,327.0,0,0,3473.34,200.0,never-taker
40.0,2191.0,101.0,1,0,2310.54,200.0,never-taker
45.1,776.0,81.0,0,0,980.22,200.0,never-taker
41.5,3827.0,87.0,1,0,2110.08,200.0,never-taker
41.2,521.0,564.0,1,1,1207.93,700.0,complier
49.5,14345.0,349.0,1,1,6809.33,700.0,complier
40.3,1098.0,11.0,1,0,1372.22,200.0,never-taker
40.1,3567.0,207.0,0,0,2486.24,200.0,never-taker
34.2,1377.0,245.0,0,0,491.56,700.0,complier
36.4,5093.0,355.0,1,1,3111.17,700.0,complier
43.8,9082.0,64.0,1,0,4691.05,200.0,never-taker
39.2,1421.0,574.0,1,1,2116.46,700.0,complier
44.1,1145.0,554.0,1,1,1308.52,700.0,complier
37.5,6249.0,292.0,1,1,3702.33,700.0,complier
38.9,7301.0,373.0,0,0,2742.8,700.0,complier
44.7,4238.0,430.0,1,1,2696.3900000000003,700.0000000000002,complier
47.8,11007.0,249.0,0,0,5454.13,200.0,never-taker
44.4,7426.0,572.0,1,1,4783.16,700.0,complier
46.8,11781.0,25.0,1,0,5666.71,200.0,never-taker
48.8,649.0,130.0,1,0,1029.2,200.0,never-taker
46.2,5254.0,22.0,0,0,3288.86,200.0,never-taker
38.3,1856.0,134.0,0,0,1368.55,200.0,never-taker
41.6,1227.0,64.0,0,0,1366.0,200.0,never-taker
44.5,9736.0,49.0,1,0,4984.56,200.0,never-taker
40.3,2343.0,316.0,1,0,1899.89,200.00000000000023,never-taker
43.8,1100.0,51.0,0,0,1110.14,200.0,never-taker
35.7,6762.0,45.0,0,0,3133.59,200.0,never-taker
38.7,4408.0,597.0,0,0,2822.61,700.0,complier
44.1,2868.0,67.0,0,0,1526.8,200.0,never-taker
33.1,6239.0,57.0,0,0,3265.23,200.0,never-taker
37.6,1164.0,86.0,1,0,836.53,200.0,never-taker
41.9,6258.0,82.0,0,0,3453.81,200.0,never-taker
35.1,3212.0,49.0,0,0,1786.15,200.0,never-taker
42.2,5705.0,333.0,1,1,3127.25,700.0,complier
38.8,9783.0,272.0,1,1,4911.07,700.0,complier
40.8,13340.0,24.0,1,0,5433.27,200.0,never-taker
41.0,1865.0,381.0,1,1,1848.92,700.0,complier
42.8,2992.0,65.0,1,0,1532.5,200.0,never-taker
39.7,5114.0,556.0,1,1,3209.21,700.0,complier
42.4,6328.0,8.0,1,0,3385.99,200.0,never-taker
39.6,3873.0,125.0,1,0,2155.1,200.0,never-taker
44.2,1619.0,25.0,1,0,1601.91,200.0,never-taker
48.8,11612.0,827.0,0,0,5459.13,700.0,complier
42.8,2415.0,98.0,1,0,1462.28,200.0,never-taker
42.7,2766.0,594.0,1,1,2514.62,700.0,complier
37.3,2950.0,16.0,1,0,1867.45,199.99999999999977,never-taker
44.8,1522.0,389.0,0,0,938.78,700.0,complier
39.0,9656.0,280.0,1,0,4933.69,200.0,never-taker
38.8,1752.0,7.0,1,0,497.27,200.0,never-taker
44.2,5786.0,178.0,0,0,2571.62,200.0,never-taker
42.7,1851.0,739.0,0,0,1448.69,700.0,complier
46.4,943.0,243.0,1,1,833.56,700.0,complier
47.8,3166.0,88.0,1,0,2320.52,200.0,never-taker
39.8,2179.0,123.0,0,0,1942.22,200.00000000000023,never-taker
42.5,5071.0,272.0,1,0,3034.24,200.0,never-taker
49.0,1108.0,282.0,0,0,666.39,699.9999999999999,complier
45.9,5448.0,132.0,0,0,2760.26,200.0,never-taker
44.9,2809.0,73.0,0,0,1755.99,200.0,never-taker
47.2,2558.0,100.0,0,0,1771.25,200.0,never-taker
39.6,652.0,13.0,1,0,788.92,200.0,never-taker
44.5,2101.0,322.0,1,1,2031.97,700.0,complier
47.6,4016.0,163.0,0,0,2137.99,200.0,never-taker
48.5,4684.0,13.0,1,0,2382.21,200.0,never-taker
38.8,11049.0,513.0,0,0,5046.2,700.0,complier
41.0,5868.0,267.0,0,0,2935.36,200.0,never-taker
43.5,4669.0,62.0,0,0,2610.91,200.0,never-taker
40.8,8367.0,186.0,0,0,3627.1,700.0000000000005,complier
40.4,991.0,147.0,1,0,856.54,200.0,never-taker
44.7,4694.0,27.0,1,0,2779.79,200.0,never-taker
40.6,1305.0,535.0,0,0,1145.77,700.0,complier
34.8,7008.0,285.0,0,0,3214.03,700.0,complier
43.4,7412.0,129.0,1,0,3861.25,200.0,never-taker
40.3,602.0,9.0,0,0,617.81,200.0,never-taker
39.1,1664.0,93.0,1,0,1087.77,200.0,never-taker
35.7,706.0,17.0,0,0,1463.05,200.0,never-taker
46.1,2008.0,257.0,0,0,2017.94,200.0,never-taker
